dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,world_emission
1960-01-01,2.713,0.086,8.222000000000001,0.113,-2.623,0.085,13.552999999999999,0.067,9396705.835
1960-02-01,3.798,0.125,9.748,0.081,-1.92,0.27399999999999997,13.956,0.07,
1960-03-01,4.303,0.077,10.216,0.092,-1.6769999999999998,0.084,14.145,0.066,
1960-04-01,8.133,0.08800000000000001,13.955,0.13699999999999998,2.229,0.10400000000000001,15.19,0.066,
1960-05-01,10.872,0.156,16.71,0.256,5.0440000000000005,0.235,15.956,0.079,
1960-06-01,13.484000000000002,0.08,19.305999999999997,0.22699999999999998,7.729,0.105,16.67,0.071,
1960-07-01,14.198,0.07200000000000001,19.884,0.125,8.491999999999999,0.094,16.985,0.07,
1960-08-01,13.825,0.079,19.604,0.177,8.241999999999999,0.165,16.969,0.069,
1960-09-01,12.095,0.099,17.855999999999995,0.226,6.497999999999998,0.146,16.382,0.069,
1960-10-01,9.497,0.063,15.235,0.08900000000000001,3.8,0.11800000000000001,15.456,0.068,
1960-11-01,5.8279999999999985,0.141,11.433,0.126,0.355,0.149,14.313,0.073,
1960-12-01,4.259,0.055999999999999994,9.64,0.14400000000000002,-0.978,0.092,13.928,0.064,
1961-01-01,2.926,0.08900000000000001,8.379999999999999,0.17600000000000002,-2.383,0.129,13.664,0.064,9434402.595
1961-02-01,3.683,0.125,9.299,0.156,-1.895,0.145,14.058,0.067,
1961-03-01,5.589,0.049,11.478,0.11900000000000001,-0.2710000000000001,0.121,14.609000000000002,0.062,
1961-04-01,8.631,0.11599999999999999,14.497,0.162,2.817,0.153,15.444,0.068,
1961-05-01,11.624,0.10400000000000001,17.592000000000002,0.319,5.729,0.22699999999999998,16.241,0.071,
1961-06-01,13.702,0.154,19.598,0.239,7.796,0.28600000000000003,16.810000000000002,0.079,
1961-07-01,14.288,0.079,20.014,0.184,8.664,0.18600000000000005,16.987000000000002,0.071,
1961-08-01,13.849,0.142,19.605999999999998,0.179,8.229999999999999,0.259,16.917,0.07200000000000001,
1961-09-01,12.247,0.069,17.987000000000005,0.121,6.525,0.14300000000000002,16.309,0.063,
1961-10-01,9.328,0.138,15.057,0.136,3.508,0.313,15.401,0.071,
1961-11-01,6.205,0.06,11.655,0.09300000000000001,0.74,0.134,14.437,0.059000000000000004,
1961-12-01,3.5,0.039,9.016,0.105,-1.915,0.085,13.682,0.059000000000000004,
1962-01-01,3.003,0.075,8.657,0.094,-2.5090000000000003,0.083,13.655,0.06,9818839.874
1962-02-01,3.696,0.064,9.547,0.099,-2.045,0.21600000000000005,14.003,0.059000000000000004,
1962-03-01,5.53,0.128,11.537,0.159,-0.41600000000000004,0.218,14.522,0.069,
1962-04-01,8.54,0.17800000000000002,14.473,0.138,2.576,0.23,15.353,0.076,
1962-05-01,11.128,0.062,17.040000000000006,0.152,5.195,0.131,16.041,0.068,
1962-06-01,13.427,0.267,19.35,0.272,7.456,0.371,16.679000000000002,0.099,
1962-07-01,14.205,0.07400000000000001,20.054000000000002,0.14300000000000002,8.451,0.077,16.952,0.068,
1962-08-01,13.713,0.10300000000000001,19.553,0.153,7.940999999999999,0.128,16.830000000000002,0.065,
1962-09-01,12.017999999999999,0.255,17.845000000000006,0.159,6.313,0.313,16.246,0.094,
1962-10-01,9.468,0.20199999999999999,15.225999999999999,0.198,3.774,0.32299999999999995,15.429,0.084,
1962-11-01,6.283,0.11900000000000001,11.775,0.142,0.7969999999999999,0.207,14.421,0.067,
1962-12-01,3.94,0.068,9.425,0.198,-1.4300000000000002,0.156,13.776,0.061,
1963-01-01,2.9010000000000002,0.08,8.671,0.14300000000000002,-2.6790000000000003,0.122,13.594,0.063,10355747.346
1963-02-01,4.02,0.10800000000000001,9.95,0.096,-1.685,0.115,14.014000000000001,0.064,
1963-03-01,5.097,0.102,11.043,0.10099999999999999,-0.895,0.226,14.357,0.063,
1963-04-01,8.173,0.057999999999999996,13.914,0.149,2.35,0.1,15.216,0.059000000000000004,
1963-05-01,11.045,0.102,16.819000000000006,0.252,5.234,0.295,16.05,0.069,
1963-06-01,13.412,0.09699999999999999,19.276,0.124,7.604,0.15,16.675,0.068,
1963-07-01,14.505999999999998,0.098,20.229,0.10400000000000001,8.797,0.243,17.089000000000002,0.077,
1963-08-01,14.309,0.061,20.009,0.218,8.471,0.25,17.061,0.07,
1963-09-01,12.555,0.126,18.306,0.182,6.724,0.34700000000000003,16.48,0.075,
1963-10-01,9.943,0.099,15.716,0.165,4.3260000000000005,0.109,15.587,0.07400000000000001,
1963-11-01,6.561,0.095,12.068,0.205,1.31,0.161,14.58,0.07,
1963-12-01,3.75,0.08199999999999999,9.346,0.094,-1.666,0.071,13.817,0.068,
1964-01-01,2.8810000000000002,0.171,8.383999999999999,0.079,-2.5490000000000004,0.161,13.595,0.076,10947007.092
1964-02-01,3.028,0.11599999999999999,8.791,0.078,-2.613,0.161,13.73,0.064,
1964-03-01,4.865,0.076,10.97,0.12300000000000001,-1.1520000000000001,0.183,14.255999999999998,0.062,
1964-04-01,7.9220000000000015,0.077,13.794,0.125,2.152,0.145,15.062,0.063,
1964-05-01,10.905,0.084,16.801000000000002,0.221,5.202000000000001,0.139,15.856,0.066,
1964-06-01,13.459,0.068,19.275,0.161,7.5360000000000005,0.24,16.590999999999998,0.064,
1964-07-01,14.300999999999998,0.125,20.065,0.196,8.572000000000001,0.15,16.784000000000002,0.073,
1964-08-01,13.678,0.17800000000000002,19.386,0.24100000000000002,8.049999999999999,0.305,16.634,0.078,
1964-09-01,11.604,0.065,17.394000000000002,0.17300000000000001,6.11,0.142,16.002,0.06,
1964-10-01,8.831999999999997,0.063,14.654000000000002,0.191,3.218,0.09699999999999999,15.171,0.061,
1964-11-01,5.9830000000000005,0.040999999999999995,11.609000000000002,0.14,0.483,0.08199999999999999,14.202,0.055999999999999994,
1964-12-01,3.458,0.046,8.759,0.14800000000000002,-1.7830000000000001,0.079,13.522,0.059000000000000004,
1965-01-01,2.862,0.069,8.418,0.107,-2.526,0.133,13.545,0.061,11433441.976
1965-02-01,3.036,0.084,8.907,0.078,-2.822,0.187,13.698,0.061,
1965-03-01,5.182,0.125,11.22,0.146,-0.7350000000000001,0.22399999999999998,14.285,0.068,
1965-04-01,7.9899999999999975,0.078,13.841,0.14,2.168,0.12300000000000001,15.095,0.061,
1965-05-01,11.222,0.174,17.168000000000006,0.32,5.2620000000000005,0.456,16.007,0.079,
1965-06-01,13.308,0.223,19.125999999999998,0.518,7.483,0.336,16.532,0.087,
1965-07-01,14.078,0.139,19.869,0.242,8.376,0.348,16.762,0.076,
1965-08-01,13.807,0.086,19.583,0.09699999999999999,8.184,0.102,16.803,0.065,
1965-09-01,11.73,0.083,17.407,0.168,6.096,0.132,16.154,0.064,
1965-10-01,9.488,0.07,15.11,0.105,3.8,0.09,15.406,0.063,
1965-11-01,5.86,0.076,11.337,0.184,0.354,0.145,14.287,0.06,
1965-12-01,3.766,0.099,9.235,0.109,-1.5430000000000001,0.066,13.775,0.062,
1966-01-01,2.49,0.059000000000000004,8.049,0.069,-3.0410000000000004,0.098,13.495,0.057,12009447.002
1966-02-01,3.29,0.111,9.004999999999997,0.132,-2.4210000000000003,0.151,13.81,0.062,
1966-03-01,5.527,0.125,11.296,0.11900000000000001,-0.42,0.16,14.445,0.066,
1966-04-01,8.161,0.068,13.951,0.10400000000000001,2.331,0.106,15.254,0.059000000000000004,
1966-05-01,11.2,0.064,17.07,0.213,5.189,0.171,15.987,0.061,
1966-06-01,13.587,0.161,19.378,0.251,7.723000000000001,0.175,16.692999999999998,0.076,
1966-07-01,14.569,0.11199999999999999,20.392,0.1,8.823,0.126,17.033,0.07,
1966-08-01,13.731,0.10099999999999999,19.627,0.205,8.087,0.111,16.826,0.068,
1966-09-01,12.133,0.107,18.028,0.085,6.482,0.135,16.273,0.069,
1966-10-01,9.152999999999999,0.073,14.777,0.081,3.555,0.11199999999999999,15.315,0.061,
1966-11-01,5.9689999999999985,0.07400000000000001,11.58,0.084,0.412,0.134,14.362,0.057999999999999996,
1966-12-01,3.3819999999999997,0.052000000000000005,8.758,0.084,-1.927,0.13,13.683,0.057,
1967-01-01,2.71,0.07,8.395,0.062,-2.869,0.14,13.527,0.055,12389685.566
1967-02-01,2.905,0.126,8.619,0.156,-2.772,0.159,13.688,0.064,
1967-03-01,5.396,0.079,11.222,0.107,-0.35600000000000004,0.075,14.465,0.057,
1967-04-01,8.458,0.11,14.376,0.146,2.5,0.228,15.3,0.061,
1967-05-01,11.632,0.077,17.505000000000006,0.172,5.7840000000000025,0.16699999999999998,16.279,0.061,
1967-06-01,13.194,0.071,18.910999999999998,0.145,7.445,0.152,16.665000000000006,0.057,
1967-07-01,14.331,0.16899999999999998,20.142,0.153,8.706,0.142,16.97,0.078,
1967-08-01,13.821,0.107,19.593,0.242,8.171999999999999,0.245,16.84,0.064,
