"","dt","LandAverageTemperature","LandAverageTemperatureUncertainty","LandMaxTemperature","LandMaxTemperatureUncertainty","LandMinTemperature","LandMinTemperatureUncertainty","LandAndOceanAverageTemperature","LandAndOceanAverageTemperatureUncertainty","world_emission","world_emission_month_rep"
"1",1,2.713,0.086,8.222,0.113,-2.623,0.085,13.553,0.067,9396705.835,9396705.835
"2",2,3.798,0.125,9.748,0.081,-1.92,0.274,13.956,0.07,NA,9396705.835
"3",3,4.303,0.077,10.216,0.092,-1.677,0.084,14.145,0.066,NA,9396705.835
"4",4,8.133,0.088,13.955,0.137,2.229,0.104,15.19,0.066,NA,9396705.835
"5",5,10.872,0.156,16.71,0.256,5.044,0.235,15.956,0.079,NA,9396705.835
"6",6,13.484,0.08,19.306,0.227,7.729,0.105,16.67,0.071,NA,9396705.835
"7",7,14.198,0.072,19.884,0.125,8.492,0.094,16.985,0.07,NA,9396705.835
"8",8,13.825,0.079,19.604,0.177,8.242,0.165,16.969,0.069,NA,9396705.835
"9",9,12.095,0.099,17.856,0.226,6.498,0.146,16.382,0.069,NA,9396705.835
"10",10,9.497,0.063,15.235,0.089,3.8,0.118,15.456,0.068,NA,9396705.835
"11",11,5.828,0.141,11.433,0.126,0.355,0.149,14.313,0.073,NA,9396705.835
"12",12,4.259,0.056,9.64,0.144,-0.978,0.092,13.928,0.064,NA,9396705.835
"13",13,2.926,0.089,8.38,0.176,-2.383,0.129,13.664,0.064,9434402.595,9434402.595
"14",14,3.683,0.125,9.299,0.156,-1.895,0.145,14.058,0.067,NA,9434402.595
"15",15,5.589,0.049,11.478,0.119,-0.271,0.121,14.609,0.062,NA,9434402.595
"16",16,8.631,0.116,14.497,0.162,2.817,0.153,15.444,0.068,NA,9434402.595
"17",17,11.624,0.104,17.592,0.319,5.729,0.227,16.241,0.071,NA,9434402.595
"18",18,13.702,0.154,19.598,0.239,7.796,0.286,16.81,0.079,NA,9434402.595
"19",19,14.288,0.079,20.014,0.184,8.664,0.186,16.987,0.071,NA,9434402.595
"20",20,13.849,0.142,19.606,0.179,8.23,0.259,16.917,0.072,NA,9434402.595
"21",21,12.247,0.069,17.987,0.121,6.525,0.143,16.309,0.063,NA,9434402.595
"22",22,9.328,0.138,15.057,0.136,3.508,0.313,15.401,0.071,NA,9434402.595
"23",23,6.205,0.06,11.655,0.093,0.74,0.134,14.437,0.059,NA,9434402.595
"24",24,3.5,0.039,9.016,0.105,-1.915,0.085,13.682,0.059,NA,9434402.595
"25",25,3.003,0.075,8.657,0.094,-2.509,0.083,13.655,0.06,9818839.874,9818839.874
"26",26,3.696,0.064,9.547,0.099,-2.045,0.216,14.003,0.059,NA,9818839.874
"27",27,5.53,0.128,11.537,0.159,-0.416,0.218,14.522,0.069,NA,9818839.874
"28",28,8.54,0.178,14.473,0.138,2.576,0.23,15.353,0.076,NA,9818839.874
"29",29,11.128,0.062,17.04,0.152,5.195,0.131,16.041,0.068,NA,9818839.874
"30",30,13.427,0.267,19.35,0.272,7.456,0.371,16.679,0.099,NA,9818839.874
"31",31,14.205,0.074,20.054,0.143,8.451,0.077,16.952,0.068,NA,9818839.874
"32",32,13.713,0.103,19.553,0.153,7.941,0.128,16.83,0.065,NA,9818839.874
"33",33,12.018,0.255,17.845,0.159,6.313,0.313,16.246,0.094,NA,9818839.874
"34",34,9.468,0.202,15.226,0.198,3.774,0.323,15.429,0.084,NA,9818839.874
"35",35,6.283,0.119,11.775,0.142,0.797,0.207,14.421,0.067,NA,9818839.874
"36",36,3.94,0.068,9.425,0.198,-1.43,0.156,13.776,0.061,NA,9818839.874
"37",37,2.901,0.08,8.671,0.143,-2.679,0.122,13.594,0.063,10355747.346,10355747.346
"38",38,4.02,0.108,9.95,0.096,-1.685,0.115,14.014,0.064,NA,10355747.346
"39",39,5.097,0.102,11.043,0.101,-0.895,0.226,14.357,0.063,NA,10355747.346
"40",40,8.173,0.058,13.914,0.149,2.35,0.1,15.216,0.059,NA,10355747.346
"41",41,11.045,0.102,16.819,0.252,5.234,0.295,16.05,0.069,NA,10355747.346
"42",42,13.412,0.097,19.276,0.124,7.604,0.15,16.675,0.068,NA,10355747.346
"43",43,14.506,0.098,20.229,0.104,8.797,0.243,17.089,0.077,NA,10355747.346
"44",44,14.309,0.061,20.009,0.218,8.471,0.25,17.061,0.07,NA,10355747.346
"45",45,12.555,0.126,18.306,0.182,6.724,0.347,16.48,0.075,NA,10355747.346
"46",46,9.943,0.099,15.716,0.165,4.326,0.109,15.587,0.074,NA,10355747.346
"47",47,6.561,0.095,12.068,0.205,1.31,0.161,14.58,0.07,NA,10355747.346
"48",48,3.75,0.082,9.346,0.094,-1.666,0.071,13.817,0.068,NA,10355747.346
"49",49,2.881,0.171,8.384,0.079,-2.549,0.161,13.595,0.076,10947007.092,10947007.092
"50",50,3.028,0.116,8.791,0.078,-2.613,0.161,13.73,0.064,NA,10947007.092
"51",51,4.865,0.076,10.97,0.123,-1.152,0.183,14.256,0.062,NA,10947007.092
"52",52,7.922,0.077,13.794,0.125,2.152,0.145,15.062,0.063,NA,10947007.092
"53",53,10.905,0.084,16.801,0.221,5.202,0.139,15.856,0.066,NA,10947007.092
"54",54,13.459,0.068,19.275,0.161,7.536,0.24,16.591,0.064,NA,10947007.092
"55",55,14.301,0.125,20.065,0.196,8.572,0.15,16.784,0.073,NA,10947007.092
"56",56,13.678,0.178,19.386,0.241,8.05,0.305,16.634,0.078,NA,10947007.092
"57",57,11.604,0.065,17.394,0.173,6.11,0.142,16.002,0.06,NA,10947007.092
"58",58,8.832,0.063,14.654,0.191,3.218,0.097,15.171,0.061,NA,10947007.092
"59",59,5.983,0.041,11.609,0.14,0.483,0.082,14.202,0.056,NA,10947007.092
"60",60,3.458,0.046,8.759,0.148,-1.783,0.079,13.522,0.059,NA,10947007.092
"61",61,2.862,0.069,8.418,0.107,-2.526,0.133,13.545,0.061,11433441.976,11433441.976
"62",62,3.036,0.084,8.907,0.078,-2.822,0.187,13.698,0.061,NA,11433441.976
"63",63,5.182,0.125,11.22,0.146,-0.735,0.224,14.285,0.068,NA,11433441.976
"64",64,7.99,0.078,13.841,0.14,2.168,0.123,15.095,0.061,NA,11433441.976
"65",65,11.222,0.174,17.168,0.32,5.262,0.456,16.007,0.079,NA,11433441.976
"66",66,13.308,0.223,19.126,0.518,7.483,0.336,16.532,0.087,NA,11433441.976
"67",67,14.078,0.139,19.869,0.242,8.376,0.348,16.762,0.076,NA,11433441.976
"68",68,13.807,0.086,19.583,0.097,8.184,0.102,16.803,0.065,NA,11433441.976
"69",69,11.73,0.083,17.407,0.168,6.096,0.132,16.154,0.064,NA,11433441.976
"70",70,9.488,0.07,15.11,0.105,3.8,0.09,15.406,0.063,NA,11433441.976
"71",71,5.86,0.076,11.337,0.184,0.354,0.145,14.287,0.06,NA,11433441.976
"72",72,3.766,0.099,9.235,0.109,-1.543,0.066,13.775,0.062,NA,11433441.976
"73",73,2.49,0.059,8.049,0.069,-3.041,0.098,13.495,0.057,12009447.002,12009447.002
